,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,2010-10-01,Chain Letter,5000000,143000,96,"['Horror', 'Thriller']","Six friends receive a mysterious chain letter via text messaging and in their email accounts from a maniac who's hunting down teenagers who fail to forward his online chain letter. Who knew they should take the threats in the chain letter seriously? Or that chain letters using the teens' favorite technologies to track them can kill? This maniacal game pits friend against friend as they race to beat rules that seem impossible to escape. Break the chain, lose a life. Do you pass it on? Does friendship mean anything?","If you don't forward it, you die.",['Deon Taylor'],"['Nikki Reed', 'Keith David', 'Michael Bailey Smith', 'Brad Dourif', 'Betsy Russell', 'Cherilyn Wilson', 'Bai Ling', 'Matt Cohen', 'Noah Segan', 'Madison Bauer', 'Cody Kasch', 'Michael J. Pagan', 'Terrence Evans', 'Brian Tee']","['Tiger Tail Entertainment', 'Deon Taylor Enterprises']",1,['US'],['en'],tt1148200,4.389,104,Released
1,2011-03-03,The Adjustment Bureau,50200000,127869379,106,"['Science Fiction', 'Thriller', 'Romance']","A man glimpses the future Fate has planned for him – and chooses to fight for his own destiny. Battling the powerful Adjustment Bureau across, under and through the streets of New York, he risks his destined greatness to be with the only woman he's ever loved.",Fight for your fate.,[],"['Matt Damon', 'Emily Blunt', 'John Slattery', 'Anthony Mackie', 'Michael Kelly', 'Terence Stamp', 'Shane McRae', 'Lisa Thoreson', 'Florence Kastriner', 'Natalie Carter', 'Phyllis MacBryde', 'Chuck Scarborough', 'Jon Stewart', 'Kar', 'RJ Konner', 'Susan D. Michaels', 'Gregory P. Hitchen', 'Amanda Warren', 'Jessica Keller', 'Darrell Lenormand', 'Michael Bloomberg', 'Lauren Hodges', 'Gregory Lay', 'James Carville', 'Mary Matalin', 'Anthony Ruivivar', 'Laurie Dawn', 'Christine McLain', 'Betty Liu', 'Jim Edward Gately', 'Venida Evans', 'Julie Hays', 'Fabrizio Brienza', 'David Bishins', 'Kate Nowlin', 'Rob Yang', 'Jennifer Ehle', 'Johnny Cicco', 'Pedro Pascal', 'Michael Boyne', 'Brian Haley', 'Kirsty Meares', 'Donnie Keshawarz', 'Kieran Campion', 'Sandi Carroll', 'Daniel Bazile', 'Meghan Andrews', 'Sandra Berrios', 'David Alan Basche', 'Joel de la Fuente', 'Mike DiSalvo', 'Dina Cataldi', 'Jason Kravits', 'Peter Jay Fernandez', 'Lawrence R. Leritz', 'Peter Hans Benson', 'Leroy McClain', 'Brit Whittle', 'Wayne Scott Miller', 'Lorenzo Pisoni', 'Bart Wilder']","['Universal Pictures', 'MRC', 'Gambit Pictures']",1,['US'],['en'],tt1385826,6.718,3912,Released
2,2010-10-28,Megamind,130000000,321885765,96,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']","Bumbling supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",His brain is off the chain.,[],"['Will Ferrell', 'Tina Fey', 'Brad Pitt', 'Jonah Hill', 'David Cross', 'Ben Stiller', 'Justin Theroux', 'Jessica Schulte', 'Tom McGrath', 'Emily Nordwind', 'J.K. Simmons', 'Ella Olivia Stiller', 'Quinn Dempsey Stiller', 'Brian Hopkins', 'Christopher Knights', 'Jasper Johannes Andrews', 'Jack Blessing', 'Stephen Kearin']","['Pacific Data Images', 'DreamWorks Animation', 'Red Hour']",1,['US'],['en'],tt1001526,6.936,5836,Released
3,2010-08-27,Going the Distance,32000000,42045846,102,"['Comedy', 'Drama', 'Romance']","Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.",A comedy about meeting each other halfway.,['Nanette Burstein'],"['Drew Barrymore', 'Justin Long', 'Charlie Day', 'Jason Sudeikis', 'Christina Applegate', 'Ron Livingston', 'Natalie Morales', 'Kelli Garner', 'Oliver Jackson-Cohen', 'Jim Gaffigan', 'June Diane Raphael', 'Rob Riggle', 'Sarah Burns', 'Matt Servitto', 'Leighton Meester', 'Taylor Schwencke', 'Mike Birbiglia', 'Graham Davie', 'Zach Page', 'Mick Hazen', 'Happy Anderson', 'Loretta Fox', 'Carole Davis', 'Kristen Schaal', 'Terry Beaver', 'Charlie Hewson', 'Meredith Hagner']","['New Line Cinema', 'Offspring Entertainment']",1,['US'],['en'],tt1322312,6.052,631,Released
4,2011-01-21,Beastly,17000000,43202283,86,"['Drama', 'Fantasy', 'Romance']","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",Love is never ugly.,[],"['Alex Pettyfer', 'Vanessa Hudgens', 'Mary-Kate Olsen', 'LisaGay Hamilton', 'Neil Patrick Harris', 'Dakota Johnson', 'Erik Knudsen', 'Peter Krause', 'David Francis', 'Gio Perez', 'Karl Graboshas', 'Jonathan Dubsky', 'Rhiannon Moller-Trotter', 'Miguel Mendoza', 'Roc LaFortune', 'Steve Godin', 'Justin Bradley', 'Julie Dretzin', 'Mia Doran', 'Devin Mroz', 'Cristina Franco']","['CBS Films', ""Mel's Cite du Cinema"", 'Storefront Films']",1,['US'],"['en', 'es']",tt1152398,6.319,2538,Released
5,2007-08-31,Ladrón que roba a ladrón,4002313,6,98,"['Action', 'Adventure', 'Comedy']","Emilio, a Colombian con man, arrives in LA with two weeks to complete his plan to rob a former colleague, Claudio Silvestrini, who's made a fortune using infomercials to peddle snake oil to Latin immigrants. Emilio's friend Alejandro, who sells pirated DVDs, has assembled a team of amateurs, who, as Alejandro says, will go unnoticed because they're immigrants. The team must gain entry to Silvestrini's well-guarded mansion, steal two keys to access a vault, and then get the money off the property. A father and his tomboy daughter, a nervous Cuban actor, a techie, and a muscle man make up the team, plus Alejandro has been courting Silvestrini's nanny. Will they be enough?",,['Joe Menendez'],"['Fernando Colunga', 'Miguel Varoni', 'Saúl Lisazo', 'Ivonne Montero', 'Oscar Torre', 'Ruben Garfias', 'Gabriel Soto', 'Julie Gonzalo', 'JoJo Henrickson', 'Lidia Pires', 'Richard Azurdia']",['Narrow Bridge Films'],1,['MX'],['es'],tt0859760,7.474,77,Released
6,1997-01-25,Shadow Conspiracy,45000000,2154540,103,['Thriller'],"Bobby Bishop is a special assistant to the President of the United States. Accidentally, he meets his friend professor Pochenko on the street. Pochenko has time to tell Bishop about some conspiracy in the White House but then immediately gets killed by an assassin. Now bad guys are after Bobby as the only man who knows about a plot. Bishop must now not only survive, but to stop the conspirators from achieving their goal. And he doesn't know whom to trust.",,['George P. Cosmatos'],"['Charlie Sheen', 'Donald Sutherland', 'Linda Hamilton', 'Stephen Lang', 'Nicholas Turturro', 'Stanley Anderson', 'Theodore Bikel', 'Charles Cioffi', 'Paul Gleason', ""Terry O'Quinn"", 'Sam Waterston', 'Ben Gazzara', 'Gore Vidal', 'Henry Strozier', 'Dey Young']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",1,['US'],['en'],tt0120107,5.008,63,Released
7,2010-08-12,Eat Pray Love,60000000,204594016,133,"['Drama', 'Romance']","Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",Let Yourself GO,[],"['Julia Roberts', 'Javier Bardem', 'James Franco', 'Billy Crudup', 'Richard Jenkins', 'Viola Davis', 'I. Gusti Ayu Puspawati', 'Hadi Subiyanto', 'A. Jay Radcliff', ""Mike O'Malley"", 'Ashlie Atkinson', 'Lisa Roberts Gillan', ""Ryan O'Nan"", 'Gita Reddy', 'Jen Kwok', 'Mary Testa', 'Tuva Novotny', 'Christine Hakim', 'Welker White']","['Columbia Pictures', 'Plan B Entertainment', 'Red Om Films']",1,['US'],"['pt', 'en', 'it']",tt0879870,6.219,2089,Released
8,2003-02-05,18 ans après,12440560,8785730,90,"['Comedy', 'Romance']","Marie (and her three fathers) are taking A-levels. Marie passes. She spends the summer in the country with her mother, Sylvia, who has returned from America with her Californian husband who has two sons. Marie falls in and out of love for the first time in front of her alarmed fathers, who see Marie's innocence slipping away at frightening speed, and their relationships with the two women become even more complicated.",,['Coline Serreau'],"['Roland Giraud', 'Michel Boujenah', 'André Dussollier', 'Line Renaud', 'Philippine Leroy-Beaulieu', 'Annick Alane', 'Evelyne Buyle']","['Canal+', 'Les Films Alain Sarde', 'Eniloc Films']",2,['FR'],['fr'],tt0271337,5.1,26,Released
9,2009-10-29,ఏక్ నిరంజన్,3800000,6900000,155,"['Romance', 'Action', 'Drama']","A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",,['Puri Jagannadh'],"['Prabhas', 'Kangana Ranaut', 'Sonu Sood', 'Mukul Dev', 'Venu Madhav', 'Brahmanandam', 'Ali Basha', 'Brahmaji', 'Tanikella Bharani', 'Posani Krishna Murali', 'Makrand Deshpande', 'Sunil Varma', 'Chalapathi Rao', 'Gautam Raju', 'Prudhviraj', 'Abhinaya Sri', 'Sangeeta', 'Sravan Raghavendra']",['Aditya Ram Movies'],1,['IN'],['te'],tt1579540,5.444,9,Released
10,1977-12-17,惑星大戦争,2000000,4000000,91,"['Adventure', 'Science Fiction', 'Action']","Earth is attacked by alien spacecraft from Venus. But a Japanese scientist has constructed a space craft, the Gohten, with which he may save humanity.",The Space War to Decide the Fate of All Mankind!,['Jun Fukuda'],"['Kensaku Morita', 'Yuko Asano', 'Ryō Ikebe', 'Masaya Oki', 'Hiroshi Miyauchi', 'Hideji Ôtaki', 'Katsutoshi Atarashi', 'Akihiko Hirata', 'Gorô Mutsumi', 'David Perin', 'Shoji Nakayama', 'Susumu Ôtani', 'Junichi Kudo', 'Koichi Yoshida', 'Isao Hashimoto', 'William Ross']","['Toho', 'Toho Pictures, Inc.']",3,['JP'],['ja'],tt0076902,5.8,9,Released
